"id","iata_code","icao_code","name","city_id","city_name","time_zone_offset","latitude","longitude","score","enabled","duffel_id","__drizzlerowid__"
"feg02znl97jcqr8dk3eky4bp","FWH","KNFW","NAS Fort Worth JRB/Carswell Field","ua09jhp3djzl6th999sviy2p","Fort Worth","-05:00","32.76584","-97.43333","0","0",,"5548"
"feigg45olfdzzyiqznt1yosx","KGK","PAJZ","Koliganek Airport","rbmpqz98453yuy6riu1jos0v","Koliganek","-08:00","59.72695","-157.26691","0","1",,"4047"
"femn18slu7kf4dzy0ujsb0zo","DCI","LIED","Decimomannu Air Base","qfs9sbvzdo98xm1k8ug0drfp","Decimomannu","+02:00","39.35417","8.9725","0","0",,"1939"
"fenou9uyepnxd460rz8giihk","AAY","OYGD","Al Ghaydah Airport","jofz1nmbrh143uw58eou1lly","Al Ghaydah","+03:00","16.19167","52.175","0","1",,"177"
"feqb0cyw0ta8dl4jegdtbhpo","DLS","KDLS","Columbia Gorge Regional Airport","or5uwcio668e3cgr3xxw49go","The Dalles","-07:00","45.6","-121.2","0","0",,"1683"
"feusoue18i4rdnqzgqh90ikv","BGP","ysnu","Bongo Airport","aj0rnshidrq4t5dfnrkfs3ep","Bongo","+01:00","-2.16694","10.22","0","0",,"1005"
"ff07rhk80zcnzjqkq0zx01s5","KVR","uvlz","Kavalerovo Airport","hrq3lrm6o1h7gs7ua1c4ec39","Kavalerovo","+10:00","44.27028","135.032","0","1",,"3817"
"ff3fs280uzz7cs2wvg31q5yv","SKI","DABP","Skikda Airport","xzxelg7rjy3emso5cm4xpxx8","Skikda","+01:00","36.87","6.95","0","1",,"7471"
"ff42b01o0rbtsh0vqu3r1rm7","JIW","OPJI","Jiwani Airport","tq8tmv23tjdv8v1a58jrbu6n","Jiwani","+05:00","25.06778","61.80556","0","1",,"3555"
"ff66ogy4cnzb5rrhr7iim59p","FHU","KFHU","Sierra Vista Municipal Airport","vhw68015rnrv2aes42affdso","Sierra Vista","-07:00","31.58834","-110.3444","0","0",,"7396"
"ff70cx3bvnaj68tu9gjiabu2","ABS","HEBL","Abu Simbel Airport","f0w9xnptjnvw7uzet26wpo5i","Abu Simbel","+03:00","22.37584","31.61167","0","1",,"34"
